Rule ID,Title,Severity,Action,Category,Description,Pattern,Min Count,Max Chars,LLM Prompt,Applies To,Endpoints,Shadow Override
EMAIL-1.0,PII: Email Address,warning,flag,,,"\b[A-Za-z0-9._%+\-]+@[A-Za-z0-9.\-]+\.[A-Za-z]{2,}\b",1,,,"user_input, prompt",/*,
GITHUB-TOKEN-1.0,Secret: GitHub Personal Access Token,error,block,,,\bghp_[A-Za-z0-9]{36}\b,1,,,"user_input, prompt",/*,enforce
OPENAI-KEY-1.0,Secret: OpenAI API Key (all formats),error,block,,,"\bsk-(?:proj-|[A-Za-z0-9]{20,}|[A-Za-z0-9]{32,})\b",1,,,"user_input, prompt",/*,enforce
API-1.0,Security: Generic long alphanumeric sequence,error,block,,,"\b[A-Za-z0-9_\-]{20,}\b",1,,,"user_input, prompt",/*,enforce
INJ-1.0,Injection: Prompt-Injection Keywords (basic),warning,flag,,,\b(system prompt|assistant prompt)\b,1,,,"user_input, prompt",/*,
INJ-2.0,Injection: Override/Ignore Directives,warning,flag,,,\b(ignore previous|as system|developer message|tool output)\b,1,,,"user_input, prompt",/*,
CJIS-BIOMETRIC-1.0,CJIS: Biometric data exposure,error,block,,,(?i)\b(fingerprint|mugshot|iris scan|retina scan|palm print|dna profile|voiceprint|biometric record)\b,1,,,"user_input, prompt",/*,enforce
HIPAA-PHI-EMAIL-1.0,HIPAA: Email addresses (PHI risk),warning,flag,,,"(?i)\b[A-Za-z0-9._%+\-]+@[A-Za-z0-9.\-]+\.[A-ZaZ]{2,}\b",1,,,"user_input, prompt",/*,
MAX-DUMP-5K,"Bulk output: >5,000 characters",error,block,,,.*,1,5000,,"user_input, prompt",/*,enforce
BULK-EMAIL-3,Bulk email leakage,error,block,,,"(?i)[A-ZaZ0-9._%+\-]+@[A-Za-z0-9.\-]+\.[A-ZaZ]{2,}",3,,,outbound,/*,
AWS-ACCESS-KEY-1.0,Secret: AWS Access Key ID,error,block,,,\bAKIA[0-9A-Z]{16}\b,1,,,"user_input, prompt",/*,enforce
AWS-SECRET-KEY-1.0,Secret: AWS Secret Access Key pattern,error,block,,,\b[A-Za-z0-9/+=]{40}\b,1,,,"user_input, prompt",/*,enforce
JWT-1.0,Secret: JSON Web Token (JWT) structure,error,block,,,"\beyJ[A-Za-z0-9_-]{10,}\.[A-Za-z0-9_-]{10,}\.[A-Za-z0-9_-]{10,}\b",1,,,"user_input, prompt",/*,enforce
HALLUC-1.0,AI Hallucination Check,warning,flag,,,.*,1,,"You are a strict compliance checker. The user provided an AI output.
Determine if it is likely hallucinated or non-factual. Reply with exactly:
""Yes"" if likely hallucinated, or ""No"" if not.
","user_input, prompt",/*,
